opcode,mnemonic,addressing mode,bytes,cycles,page cross,unofficial opcode
0xcd,CMP,ABS,3,4,no,no
0xdd,CMP,ABSX,3,4,yes,no
0xd9,CMP,ABSY,3,4,yes,no
0xc1,CMP,INDX,2,6,no,no
0xd1,CMP,INDY,2,5,yes,no

0xe0,CPX,IMM,2,2,no,no
0xe4,CPX,ZP,2,3,no,no
0xec,CPX,ABS,3,4,no,no

0xc0,CPY,IMM,2,2,no,no
0xc4,CPY,ZP,2,3,no,no
0xcc,CPY,ABS,3,4,no,no

0xc6,DEC,ZP,2,5,no,no
0xd6,DEC,ZPX,2,6,no,no
0xce,DEC,ABS,3,6,no,no
0xde,DEC,ABSX,3,7,no,no

0xca,DEX,IMP,1,2,no,no
0x88,DEY,IMP,1,2,no,no
0xe8,INX,IMP,1,2,no,no
0xc8,INY,IMP,1,2,no,no

0x49,EOR,IMM,2,2,no,no
0x45,EOR,ZP,2,3,no,no
0x55,EOR,ZPX,2,4,no,no
0x4d,EOR,ABS,3,4,no,no
0x5d,EOR,ABSX,3,4,yes,no
0x59,EOR,ABSY,3,4,yes,no
0x41,EOR,INDX,2,6,no,no
0x51,EOR,INDY,2,5,yes,no

0xe6,INC,ZP,2,5,no,no
0xf6,INC,ZPX,2,6,no,no
0xee,INC,ABS,3,6,no,no
0xfe,INC,ABSX,3,7,no,no

0x4c,JMP,ABS,3,3,no,no
0x6c,JMP,IND,3,5,no,no
0x20,JSR,ABS,3,6,no,no

0xa9,LDA,IMM,2,2,no,no
0xa5,LDA,ZP,2,3,no,no
0xb5,LDA,ZPX,2,4,no,no
0xad,LDA,ABS,3,4,no,no
0xbd,LDA,ABSX,3,4,yes,no
0xb9,LDA,ABSY,3,4,yes,no
0xa1,LDA,INDX,2,6,no,no
0xb1,LDA,INDY,2,5,yes,no

0xa2,LDX,IMM,2,2,no,no
0xa6,LDX,ZP,2,3,no,no
0xb6,LDX,ZPY,2,4,no,no
0xae,LDX,ABS,3,4,no,no
0xbe,LDX,ABSY,3,4,yes,no

0xa0,LDY,IMM,2,2,no,no
0xa4,LDY,ZP,2,3,no,no
0xb4,LDY,ZPX,2,4,no,no
0xac,LDY,ABS,3,4,no,no
0xbc,LDY,ABSX,3,4,yes,no

0x4a,LSR,ACC,1,2,no,no
0x46,LSR,ZP,2,5,no,no
0x56,LSR,ZPX,2,6,no,no
0x4e,LSR,ABS,3,6,no,no
0x5e,LSR,ABSX,3,7,no,no

0x09,ORA,IMM,2,2,no,no
